Report Number,Route Type,Road Name,Cross-Street Name,Collision Type,Municipality,Weather,Surface Condition,Traffic Control,Speed Limit,Latitude,Longitude,Date,Time,Year,Month,Day
DD5652001P,Municipality,WOOTTON PKWY,SEVEN LOCKS RD,HEAD ON LEFT TURN,ROCKVILLE,CLEAR,DRY,TRAFFIC SIGNAL,35,39.06679957,-77.16143881,2022-11-12,12:11:00,2022,11,12
DD5651000W,Maryland (State),ROCKVILLE PIKE,RICHARD MONTGOMERY DR,SAME DIRECTION SIDESWIPE,ROCKVILLE,,DRY,TRAFFIC SIGNAL,35,39.08031912,-77.14387961,2021-11-03,15:57:00,2021,11,3
MCP2864003X,County,SHADY GROVE RD,RESEARCH BLVD,STRAIGHT MOVEMENT ANGLE,ROCKVILLE,CLEAR,DRY,TRAFFIC SIGNAL,25,39.1049965,-77.19052845,2021-01-19,17:02:00,2021,1,19
MCP2351004Q,Maryland (State),VEIRS MILL RD,ATLANTIC AVE,STRAIGHT MOVEMENT ANGLE,ROCKVILLE,RAINING,WET,TRAFFIC SIGNAL,40,39.07508167,-77.11544167,2022-10-31,10:02:00,2022,10,31
MCP2689008Z,County,DARNESTOWN RD,JERSEY LA,STRAIGHT MOVEMENT ANGLE,ROCKVILLE,CLEAR,DRY,STOP SIGN,40,39.0911151,-77.18784632,2022-11-17,10:33:00,2022,11,17
DD559500DB,Maryland (State),ROCKVILLE PIKE,TWINBROOK PKWY,SAME DIR REAR END,ROCKVILLE,CLEAR,DRY,TRAFFIC SIGNAL,35,39.05922267,-77.12132467,2023-05-14,12:35:00,2023,5,14
MCP2763003Y,County,SHADY GROVE RD,CHOKE CHERRY RD,SAME DIR REAR END,ROCKVILLE,CLEAR,DRY,TRAFFIC SIGNAL,45,39.11553167,-77.18516333,2021-11-27,12:20:00,2021,11,27
DD5648001X,Municipality,FLEET ST,MONROE ST,STRAIGHT MOVEMENT ANGLE,ROCKVILLE,CLEAR,DRY,TRAFFIC SIGNAL,30,39.0807354,-77.15005649,2023-04-02,10:46:00,2023,4,2
DD5527004R,Maryland (State),ROCKVILLE PIKE,MONROE PL,STRAIGHT MOVEMENT ANGLE,ROCKVILLE,CLEAR,DRY,TRAFFIC SIGNAL,35,39.0834764,-77.14697252,2023-05-06,23:40:00,2023,5,6
DD56490018,Municipality,MANNAKEE ST,MARTINS LA,OTHER,ROCKVILLE,RAINING,WET,TRAFFIC SIGNAL,25,39.09333,-77.16147833,2021-10-25,20:35:00,2021,10,25
MCP31250039,Maryland (State),FALLS RD,DUNSTER RD,SAME DIR REAR END,ROCKVILLE,RAINING,WET,NO CONTROLS,35,39.06378333,-77.17668167,2021-09-22,16:35:00,2021,9,22
MCP22860041,Municipality,WOOTTON PKWY,PRESERVE PKWY,SAME DIR REAR END,ROCKVILLE,CLEAR,DRY,TRAFFIC SIGNAL,40,39.06717333,-77.15004,2022-01-24,15:45:00,2022,1,24
MCP3200003H,County,MONTROSE RD,FARM HAVEN DR,HEAD ON LEFT TURN,ROCKVILLE,CLOUDY,DRY,TRAFFIC SIGNAL,35,39.05447667,-77.14350833,2021-08-29,14:33:00,2021,8,29
DD5645001L,Municipality,BROADWOOD DR,GRANDIN AVE,SAME DIR REAR END,ROCKVILLE,CLEAR,DRY,NO CONTROLS,25,39.0800715,-77.122049,2022-01-16,00:54:00,2022,1,16
MCP23390089,Municipality,TWINBROOK PKWY,CHAPMAN AVE,ANGLE MEETS LEFT HEAD ON,ROCKVILLE,CLEAR,DRY,TRAFFIC SIGNAL,35,39.05876917,-77.11902833,2023-06-06,19:58:00,2023,6,6
MCP26890090,Maryland (State),ROCKVILLE PIKE,TWINBROOK PKWY,SINGLE VEHICLE,ROCKVILLE,SNOW,SNOW,NO CONTROLS,40,39.0579127,-77.12043035,2022-01-16,15:39:00,2022,1,16
DD56330078,Maryland (State),VEIRS MILL RD,ATLANTIC AVE,SINGLE VEHICLE,ROCKVILLE,RAINING,WET,,30,39.07471739,-77.11512076,2022-06-12,07:15:00,2022,6,12
DD56480007,Maryland (State),NORBECK RD,FIRST ST SPUR,SAME DIR REAR END,ROCKVILLE,CLEAR,DRY,,40,39.08685099,-77.13516943,2021-05-07,05:27:00,2021,5,7
DD5502006G,Maryland (State),FIRST ST,GRANDIN AVE,SAME DIR REAR END,ROCKVILLE,CLEAR,DRY,NO CONTROLS,30,39.08146727,-77.13725286,2022-05-28,08:58:00,2022,5,28
DD5643002S,Municipality,W MONTGOMERY AVE,N VAN BUREN ST,OTHER,ROCKVILLE,CLEAR,DRY,STOP SIGN,25,39.08412648,-77.15685182,2023-05-31,17:00:00,2023,5,31
MCP2047004D,County,MONTROSE RD,TOWER OAKS BLVD,SAME DIR REAR END,ROCKVILLE,RAINING,WET,TRAFFIC SIGNAL,40,39.05553,-77.14905167,2022-04-05,13:04:00,2022,4,5
MCP2765005P,Maryland (State),VEIRS MILL RD,MEADOW HALL DR,HEAD ON LEFT TURN,ROCKVILLE,CLEAR,DRY,NO CONTROLS,25,39.07428167,-77.11392833,2021-04-09,16:20:00,2021,4,9
DD5633005N,Municipality,W GUDE DR,PICCARD DR,SAME DIR REAR END,ROCKVILLE,RAINING,WET,,40,39.10312485,-77.17436728,2021-06-26,11:30:00,2021,6,26
MCP2455004T,Municipality,ELMCROFT BLVD,KING FARM BLVD,SAME DIRECTION SIDESWIPE,ROCKVILLE,CLEAR,DRY,,25,39.11606554,-77.16946336,2022-03-05,16:38:00,2022,3,5
MCP2411006X,Municipality,GRUENTHER AVE,BROADWOOD DR,OTHER,ROCKVILLE,CLEAR,DRY,NO CONTROLS,25,39.08211465,-77.11884473,2021-05-10,10:58:00,2021,5,10
DD5633005T,Municipality,GRANDIN CIR,GRANDIN AVE,OTHER,ROCKVILLE,CLEAR,DRY,,5,39.07977674,-77.12886086,2021-08-24,13:45:00,2021,8,24
MCP2339006J,Maryland (State),VEIRS MILL RD,ATLANTIC AVE,HEAD ON LEFT TURN,ROCKVILLE,CLOUDY,DRY,TRAFFIC SIGNAL,40,39.07492333,-77.11577,2021-12-10,16:26:00,2021,12,10
